Phenotype,MAIN_CONDITION
Neuro developmental disorder,F90
Autoimmune skin disease,L63
Spondyloarthritis,M45
anxiety,F40
anxiety,F41
Bipolar disease & affective psychosis,F30
Bipolar disease & affective psychosis,F31
Severe blindness,H54
Bronchiectasis,J47
cardiomyopathy,I43
cataract,H25
cataract,H28
Cystic fibrosis,E84
Gall stones,K80
Chronic liver disease,B18
congenital heart disease,Q21
Chronic obstructive pulmonary disease,J40
Chronic obstructive pulmonary disease,J41
Chronic obstructive pulmonary disease,J42
Chronic obstructive pulmonary disease,J43
Chronic obstructive pulmonary disease,J44
Inflammatory bowel disease,K50
deafness,H90
deafness,H91
depression,F32
depression,F33
diabetes,E10
diabetes,E11
diabetes,E12
diabetes,E13
diabetes,E14
Neuro developmental disorder,Q90
Endometrosis,N80
Epilepsy,G40
Epilepsy,G41
Infertility,N97
heart failure,I50
HIV/AIDS,B20
HIV/AIDS,B21
HIV/AIDS,B22
HIV/AIDS,B23
HIV/AIDS,B24
HIV/AIDS,R75
HIV/AIDS,Z21
all other cancers,C81
Irritable bowel syndrome,K58
Neuro developmental disorder,F70
Neuro developmental disorder,F71
Neuro developmental disorder,F72
Neuro developmental disorder,F73
Neuro developmental disorder,F78
Neuro developmental disorder,F79
Vertebral disorder,M50
Vertebral disorder,M51
stroke,I61
Leiomyoma,D25
all other cancers,C91
all other cancers,C92
all other cancers,C93
all other cancers,C94
all other cancers,C95
other dermatology conditions,L43
Chronic liver disease,K70
Chronic liver disease,K72
Migraine,G43
Multiple sclerosis,G35
valvular heart disease,I08
all other cancers,C82
all other cancers,C83
all other cancers,C84
all other cancers,C85
all other cancers,C86
valvular heart disease,I35
valvular heart disease,I34
Osteoarthritis,M15
Osteoarthritis,M16
Osteoarthritis,M17
Osteoarthritis,M18
Osteoarthritis,M19
other mental health conditions,F42
Osteoporosis,M80
Osteoporosis,M81
Osteoporosis,M82
other mental health conditions,F60
other mental health conditions,F61
Pulmonary embolism,I26
Peripheral neuropathy,G57
Peripheral neuropathy,G58
Peripheral neuropathy,G59
Peripheral neuropathy,G60
Peripheral neuropathy,G61
Peripheral neuropathy,G62
Peripheral neuropathy,G63
Peripheral neuropathy,G64
all other cancers,C90
all other cancers,C24
all other cancers,C67
all other cancers,C40
all other cancers,C41
all other cancers,C18
all other cancers,C19
all other cancers,C20
all other cancers,C21
all other cancers,C70
all other cancers,C71
all other cancers,C72
breast cancer,C50
breast cancer,D05
all other cancers,C53
all other cancers,C64
all other cancers,C65
all other cancers,C66
all other cancers,C33
